"Platform","Year_of_Release","Critic_Score","Critic_Count","User_Score","User_Count","ConsoleCompany","TargetAudience","Category","Sales"
"X360","2009",71,56,7.3,64,"Xbox","Teen & Up","Big-Brain",1.85695338177052
"X360","2011",67,50,6.6,140,"Xbox","Teen & Up","Big-Brain",1.58113883008419
"PS2","2006",58,29,8.6,10,"Sony","Children","Action",1.49071198499986
"PS","2001",80,15,8.6,16,"Sony","Children","Sports",1.82574185835055
"X360","2013",81,30,5.9,92,"Xbox","Children","Sports",1.58113883008419
"PS2","2003",59,17,8.6,14,"Sony","Children","Action",1.96116135138184
"Wii","2010",41,8,5,11,"Nintendo","Teen & Up","Action",2.1320071635561
"PS2","2003",80,41,8.9,68,"Sony","Teen & Up","Action",1.96116135138184
"PS3","2010",58,49,5.9,15,"Sony","Teen & Up","Action",2.35702260395516
"GC","2003",88,16,8.1,7,"Nintendo","Children","Sports",1.56173761888606
"PS2","2005",83,41,8.7,38,"Sony","Teen & Up","Action",1.96116135138184
"Wii","2008",46,7,4.6,7,"Nintendo","Children","Sports",1.44337567297406
"PS2","2001",81,21,7.9,20,"Sony","Teen & Up","Action",1.96116135138184
"PS2","2005",78,19,9.1,13,"Sony","Children","Sports",1.49071198499986
"PSP","2010",83,54,8.1,67,"Sony","Teen & Up","Big-Brain",2.88675134594813
"Wii","2010",85,62,8.8,85,"Nintendo","Teen & Up","Action",1.82574185835055
"DS","2006",78,26,8.1,52,"Nintendo","Children","Big-Brain",1.69030850945703
"PS2","2003",75,34,9.3,49,"Sony","Teen & Up","Action",1.96116135138184
"PC","2016",88,54,7.5,1263,"PC","Teen & Up","Action",2.42535625036333
"PS","2000",51,16,4.6,14,"Sony","Teen & Up","Sports",1.82574185835055
"PS2","2004",78,19,8.3,13,"Sony","Children","Sports",1.50755672288882
"PSP","2010",87,49,8.7,102,"Sony","Teen & Up","Big-Brain",2.58198889747161
"PS2","2004",58,24,8.1,21,"Sony","Teen & Up","Action",1.96116135138184
"Wii","2007",62,38,7.1,46,"Nintendo","Teen & Up","Action",2
"PS2","2003",78,23,8.3,8,"Sony","Children","Sports",1.96116135138184
"X","2004",78,30,7.7,14,"Xbox","Teen & Up","Sports",1.58113883008419
"X","2005",82,43,8.5,11,"Xbox","Teen & Up","Action",1.71498585142509
"X","2005",89,65,8.4,66,"Xbox","Children","Sports",1.76776695296637
"X","2005",72,42,7,15,"Xbox","Teen & Up","Action",1.76776695296637
"PS2","2004",71,24,8.2,22,"Sony","Children","Action",1.96116135138184
"X","2002",59,23,6.6,10,"Xbox","Teen & Up","Action",1.79605302026775
"PS2","2005",63,26,6.3,27,"Sony","Children","Sports",1.96116135138184
"Wii","2006",72,57,8.4,83,"Nintendo","Children","Sports",1.60128153805087
"PS3","2011",83,57,7.7,288,"Sony","Teen & Up","Action",2.04124145231932
"GC","2004",81,36,8.4,12,"Nintendo","Teen & Up","Big-Brain",1.56173761888606
"PS4","2016",81,29,7.7,114,"Sony","Children","Action",2.18217890235992
"PSP","2010",73,22,7.7,22,"Sony","Children","Sports",3.01511344577764
"WiiU","2015",71,5,8.1,14,"Nintendo","Children","Action",1.92450089729875
"DS","2009",75,7,8.3,4,"Nintendo","Teen & Up","Action",1.69030850945703
"PS2","2001",69,24,7.8,23,"Sony","Teen & Up","Action",1.96116135138184
"PSP","2007",61,12,6.4,9,"Sony","Teen & Up","Action",1.69030850945703
"Wii","2008",47,5,5.4,10,"Nintendo","Children","Action",1.42857142857143
"PS3","2009",43,41,3.9,71,"Sony","Teen & Up","Action",2.77350098112615
"PS3","2008",78,51,7.5,150,"Sony","Teen & Up","Big-Brain",1.71498585142509
"GC","2002",82,13,8.7,23,"Nintendo","Teen & Up","Action",1.56173761888606
"PC","2011",91,27,8.6,1861,"PC","Teen & Up","Action",2.5
"WiiU","2015",87,13,5.6,65,"Nintendo","Children","Action",1.88982236504614
"PS2","2005",68,36,7.7,24,"Sony","Teen & Up","Sports",1.96116135138184
"PS2","2005",84,52,8.5,73,"Sony","Teen & Up","Action",1.50755672288882
"DS","2006",76,56,7.3,56,"Nintendo","Children","Action",1.62221421130763
"PS2","2003",66,21,8,23,"Sony","Teen & Up","Action",1.96116135138184
"GBA","2005",81,21,8,25,"Nintendo","Children","Sports",2.04124145231932
"PS4","2015",61,33,3.7,78,"Sony","Children","Action",2.29415733870562
"PS3","2011",66,11,8.4,16,"Sony","Children","Misc",2
"PS4","2014",68,45,6.5,436,"Sony","Teen & Up","Big-Brain",2.35702260395516
"PS3","2007",76,18,6.2,12,"Sony","Teen & Up","Sports",2.42535625036333
"X360","2009",77,68,8,114,"Xbox","Teen & Up","Action",1.76776695296637
"PS3","2006",76,25,4.2,22,"Sony","Children","Sports",1.45864991497895
"DS","2006",69,27,8.2,21,"Nintendo","Children","Big-Brain",2.42535625036333
"Wii","2006",41,15,4,21,"Nintendo","Children","Sports",1.47441956154897
"X360","2010",79,51,7.8,19,"Xbox","Children","Sports",1.88982236504614
"PS2","2007",46,10,5.2,6,"Sony","Children","Action",2.77350098112615
"PS","2001",89,15,9.1,37,"Sony","Teen & Up","Big-Brain",1.85695338177052
"Wii","2008",68,46,7.1,94,"Nintendo","Teen & Up","Big-Brain",2.18217890235992
"PS","2001",73,19,8.5,36,"Sony","Teen & Up","Action",1.85695338177052
"PS2","2002",87,17,9,126,"Sony","Teen & Up","Action",2.35702260395516
"X360","2007",73,37,5.3,19,"Xbox","Children","Sports",1.45864991497895
"PS2","2005",86,61,8.9,51,"Sony","Children","Big-Brain",1.96116135138184
"X360","2011",79,26,6.9,22,"Xbox","Children","Misc",1.60128153805087
"X","2002",90,14,8.2,15,"Xbox","Children","Sports",1.60128153805087
"Wii","2008",56,12,7.3,13,"Nintendo","Children","Big-Brain",1.45864991497895
